case_a	case_b	fvector	lambda	even_passes	odd_passes	even_det_sign	odd_det_sign	triple_orientation_of_passing_candidate	exhaustive_tuples	exhaustive_similarities	exhaustive_det_signs	verdict	even_image_orbit	odd_image_orbit	similarity_cosets	order_Gamma_b
L3-{5,3,5/2}-5	L3-{5,3,5/2}-8	(48,144,48,8)	4/3*E(40)^7-7/3*E(40)^8-4/3*E(40)^13-4/3*E(40)^16-2/3*E(40)^21+4/3*E(40)^23-4/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-7/3*E(40)^32-4/3*E(40)^37+2/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2304	1152	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	1152
L3-{5,3,5/2}-6	L3-{5,3,5/2}-5	(48,144,48,8)	-8/3*E(40)^7-13/3*E(40)^8+8/3*E(40)^13-29/3*E(40)^16+20/3*E(40)^21-8/3*E(40)^23-29/3*E(40)^24+20/3*E(40)^29-20/3*E(40)^31-13/3*E(40)^32+8/3*E(40)^37-20/3*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
L3-{5,3,5/2}-6	L3-{5,3,5/2}-6	(48,144,48,8)	1	true	true	+1	+1	even:same;odd:same	2304	1152	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	1152
L3-{5,3,5/2}-6	L3-{5,3,5/2}-7	(48,144,48,8)	-4/3*E(40)^7-7/3*E(40)^8+4/3*E(40)^13-4/3*E(40)^16+2/3*E(40)^21-4/3*E(40)^23-4/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-7/3*E(40)^32+4/3*E(40)^37-2/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2304	1152	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	1152
L3-{5,3,5/2}-6	L3-{5,3,5/2}-8	(48,144,48,8)	-3*E(40)^8-4*E(40)^16+2*E(40)^21-4*E(40)^24+2*E(40)^29-2*E(40)^31-3*E(40)^32-2*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
L3-{5,3,5/2}-7	L3-{5,3,5/2}-5	(48,144,48,8)	-2*E(40)^7-4*E(40)^8+2*E(40)^13-9*E(40)^16+6*E(40)^21-2*E(40)^23-9*E(40)^24+6*E(40)^29-6*E(40)^31-4*E(40)^32+2*E(40)^37-6*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
L3-{5,3,5/2}-7	L3-{5,3,5/2}-6	(48,144,48,8)	2/3*E(40)^7-4/3*E(40)^8-2/3*E(40)^13-5/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-5/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-4/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2304	1152	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	1152
L3-{5,3,5/2}-7	L3-{5,3,5/2}-7	(48,144,48,8)	1	true	true	+1	+1	even:same;odd:same	2304	1152	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	1152
L3-{5,3,5/2}-7	L3-{5,3,5/2}-8	(48,144,48,8)	4/3*E(40)^7-13/3*E(40)^8-4/3*E(40)^13-13/3*E(40)^16+4/3*E(40)^21+4/3*E(40)^23-13/3*E(40)^24+4/3*E(40)^29-4/3*E(40)^31-13/3*E(40)^32-4/3*E(40)^37-4/3*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
L3-{5,3,5/2}-8	L3-{5,3,5/2}-5	(48,144,48,8)	-2/3*E(40)^7-4/3*E(40)^8+2/3*E(40)^13-5/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-5/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-4/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	true	true	+1	+1	even:mirror;odd:mirror	2304	1152	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	1152
