case_a	case_b	candidate	lambda_json	lambda_exact_powerbasis	lambda_float	isometry	lambda_ok	lambda_real	M_real	MMt_ok	det_json	det_exact_powerbasis	det_sign_json	det_sign_computed	det_ok	det_matches_json	vertices_onto	edges_onto	faces_onto	cells_onto	w_maps_to_w	image_flag_orbit_json	image_flag_orbit_computed	flag_orbit_agrees	flag_image_kind	flag_image_agrees	anchor_images_agree	M_in_Gamma_b	represents_own_coset_json	triple_orientation_json	all_ok
L3-{5,3,5/2}-5	L3-{5,3,5/2}-5	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-8	L3-{5,3,5/2}-5	even	-2/3*E(40)^7-4/3*E(40)^8+2/3*E(40)^13-5/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-5/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-4/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	5/3-2/3*E(40)^5+1/3*E(40)^8-1/3*E(40)^12+2/3*E(40)^15	0.929869	False	True	True	True	True	-16/9*E(40)^7-25/9*E(40)^8+16/9*E(40)^13-34/9*E(40)^16+20/9*E(40)^21-16/9*E(40)^23-34/9*E(40)^24+20/9*E(40)^29-20/9*E(40)^31-25/9*E(40)^32+16/9*E(40)^37-20/9*E(40)^39	34/9-4/9*E(40)-4/9*E(40)^3-16/9*E(40)^5+4/9*E(40)^7+E(40)^8-4/9*E(40)^9-E(40)^12+20/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-8	L3-{5,3,5/2}-5	odd	-2/3*E(40)^7-4/3*E(40)^8+2/3*E(40)^13-5/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-5/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-4/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	5/3-2/3*E(40)^5+1/3*E(40)^8-1/3*E(40)^12+2/3*E(40)^15	0.929869	False	True	True	True	True	-16/9*E(40)^7-25/9*E(40)^8+16/9*E(40)^13-34/9*E(40)^16+20/9*E(40)^21-16/9*E(40)^23-34/9*E(40)^24+20/9*E(40)^29-20/9*E(40)^31-25/9*E(40)^32+16/9*E(40)^37-20/9*E(40)^39	34/9-4/9*E(40)-4/9*E(40)^3-16/9*E(40)^5+4/9*E(40)^7+E(40)^8-4/9*E(40)^9-E(40)^12+20/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-6	L3-{5,3,5/2}-6	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,5/2}-6	L3-{5,3,5/2}-6	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,5/2}-7	L3-{5,3,5/2}-6	even	2/3*E(40)^7-4/3*E(40)^8-2/3*E(40)^13-5/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-5/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-4/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	5/3+2/3*E(40)^5+1/3*E(40)^8-1/3*E(40)^12-2/3*E(40)^15	2.815487	False	True	True	True	True	16/9*E(40)^7-25/9*E(40)^8-16/9*E(40)^13-34/9*E(40)^16-20/9*E(40)^21+16/9*E(40)^23-34/9*E(40)^24-20/9*E(40)^29+20/9*E(40)^31-25/9*E(40)^32-16/9*E(40)^37+20/9*E(40)^39	34/9+4/9*E(40)+4/9*E(40)^3+16/9*E(40)^5-4/9*E(40)^7+E(40)^8+4/9*E(40)^9-E(40)^12-20/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-7	L3-{5,3,5/2}-6	odd	2/3*E(40)^7-4/3*E(40)^8-2/3*E(40)^13-5/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-5/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-4/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	5/3+2/3*E(40)^5+1/3*E(40)^8-1/3*E(40)^12-2/3*E(40)^15	2.815487	False	True	True	True	True	16/9*E(40)^7-25/9*E(40)^8-16/9*E(40)^13-34/9*E(40)^16-20/9*E(40)^21+16/9*E(40)^23-34/9*E(40)^24-20/9*E(40)^29+20/9*E(40)^31-25/9*E(40)^32-16/9*E(40)^37+20/9*E(40)^39	34/9+4/9*E(40)+4/9*E(40)^3+16/9*E(40)^5-4/9*E(40)^7+E(40)^8+4/9*E(40)^9-E(40)^12-20/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-6	L3-{5,3,5/2}-7	even	-4/3*E(40)^7-7/3*E(40)^8+4/3*E(40)^13-4/3*E(40)^16+2/3*E(40)^21-4/3*E(40)^23-4/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-7/3*E(40)^32+4/3*E(40)^37-2/3*E(40)^39	4/3+2/3*E(40)+2/3*E(40)^3-4/3*E(40)^5-2/3*E(40)^7-E(40)^8+2/3*E(40)^9+E(40)^12+2/3*E(40)^15	0.355178	False	True	True	True	True	-68/9*E(40)^7-98/9*E(40)^8+68/9*E(40)^13-41/9*E(40)^16+28/9*E(40)^21-68/9*E(40)^23-41/9*E(40)^24+28/9*E(40)^29-28/9*E(40)^31-98/9*E(40)^32+68/9*E(40)^37-28/9*E(40)^39	41/9+40/9*E(40)+40/9*E(40)^3-68/9*E(40)^5-40/9*E(40)^7-19/3*E(40)^8+40/9*E(40)^9+19/3*E(40)^12+28/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,5/2}-6	L3-{5,3,5/2}-7	odd	-4/3*E(40)^7-7/3*E(40)^8+4/3*E(40)^13-4/3*E(40)^16+2/3*E(40)^21-4/3*E(40)^23-4/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-7/3*E(40)^32+4/3*E(40)^37-2/3*E(40)^39	4/3+2/3*E(40)+2/3*E(40)^3-4/3*E(40)^5-2/3*E(40)^7-E(40)^8+2/3*E(40)^9+E(40)^12+2/3*E(40)^15	0.355178	False	True	True	True	True	-68/9*E(40)^7-98/9*E(40)^8+68/9*E(40)^13-41/9*E(40)^16+28/9*E(40)^21-68/9*E(40)^23-41/9*E(40)^24+28/9*E(40)^29-28/9*E(40)^31-98/9*E(40)^32+68/9*E(40)^37-28/9*E(40)^39	41/9+40/9*E(40)+40/9*E(40)^3-68/9*E(40)^5-40/9*E(40)^7-19/3*E(40)^8+40/9*E(40)^9+19/3*E(40)^12+28/9*E(40)^15	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,5/2}-7	L3-{5,3,5/2}-7	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
